date,hour,transactions,units_sold,sales
2024-05-08,08:00,4,24,488.93
2024-05-08,09:00,6,16,263.77
2024-05-08,10:00,3,13,356.32
2024-05-08,11:00,3,15,116.16
2024-05-08,12:00,2,9,141.91
2024-05-08,13:00,3,11,195.68
2024-05-08,14:00,5,24,403.28
2024-05-08,15:00,5,21,211.18
2024-05-08,16:00,2,5,81.15
2024-05-08,17:00,5,27,481.33
2024-05-08,18:00,1,3,60.73
2024-05-08,19:00,1,2,48.84
2024-05-08,20:00,3,9,223.07
2024-05-08,21:00,1,3,6.39
2024-05-09,08:00,2,12,96.89
2024-05-09,09:00,4,14,176.09
2024-05-09,10:00,1,4,19.84
2024-05-09,12:00,2,12,223.32
2024-05-09,13:00,7,34,529.37
2024-05-09,14:00,2,8,80.49
2024-05-09,15:00,6,28,466.03
2024-05-09,16:00,3,9,147.10
2024-05-09,17:00,3,8,169.96
2024-05-09,18:00,2,15,342.35
2024-05-09,20:00,2,6,107.19
2024-05-09,21:00,1,4,66.53
2024-05-10,09:00,1,2,37.14
2024-05-10,11:00,2,8,160.26
2024-05-10,12:00,4,14,255.30
2024-05-10,13:00,2,10,164.40
2024-05-10,14:00,9,41,938.43
2024-05-10,15:00,2,6,65.00
2024-05-10,16:00,4,10,164.12
2024-05-10,17:00,5,26,772.47
2024-05-10,18:00,1,3,73.26
2024-05-10,19:00,2,14,252.92
2024-05-10,20:00,2,10,83.99
2024-05-10,21:00,2,4,64.65
2024-05-11,08:00,2,10,137.36
2024-05-11,09:00,1,4,78.54
2024-05-11,10:00,4,18,263.18
2024-05-11,11:00,2,7,183.73
2024-05-11,12:00,3,18,401.10
2024-05-11,13:00,8,25,358.24
2024-05-11,14:00,2,9,167.33
2024-05-11,15:00,4,18,268.94
2024-05-11,16:00,6,34,781.75
2024-05-11,17:00,4,14,133.72
2024-05-11,18:00,4,19,351.66
2024-05-11,19:00,2,8,130.35
2024-05-11,20:00,2,15,100.35
2024-05-11,21:00,1,5,107.98
2024-05-12,09:00,2,4,118.21
2024-05-12,10:00,1,6,153.07
2024-05-12,11:00,3,10,144.30
2024-05-12,13:00,1,3,51.87
2024-05-12,14:00,8,26,438.61
2024-05-12,15:00,7,26,366.42
2024-05-12,17:00,2,11,141.81
2024-05-12,18:00,5,11,213.38
2024-05-12,19:00,3,10,117.54
2024-05-12,21:00,1,4,20.62
2024-05-13,08:00,2,10,304.78
2024-05-13,09:00,1,7,112.07
2024-05-13,11:00,1,2,15.44
2024-05-13,12:00,6,28,531.41
2024-05-13,13:00,5,23,437.94
2024-05-13,14:00,5,28,774.40
2024-05-13,15:00,2,9,244.45
2024-05-13,16:00,3,8,172.06
2024-05-13,17:00,5,16,356.29
2024-05-13,18:00,4,16,223.75
2024-05-13,19:00,1,5,91.33
2024-05-13,20:00,2,2,41.88
2024-05-13,21:00,2,10,76.25
2024-05-14,10:00,2,7,97.69
2024-05-14,11:00,5,12,277.02
2024-05-14,12:00,2,5,169.95
2024-05-14,13:00,5,25,330.60
2024-05-14,14:00,11,60,1264.19
2024-05-14,15:00,3,16,280.94
2024-05-14,16:00,7,24,575.82
2024-05-14,17:00,2,14,395.73
2024-05-14,18:00,3,15,179.14
2024-05-14,19:00,2,11,198.57
2024-05-14,20:00,2,8,194.79
2024-05-14,21:00,1,5,148.23
