transaction_id,timestamp,date,hour,pos_terminal_id,cashier_id,product_id,sku,product_name,category,quantity,unit_sell_price,line_total,payment_method
T1040,2024-05-08 08:14:43,2024-05-08,08:00,POS-2,C003,P040,TEA-BOTTLE,Iced Tea Bottle,Beverage,3,23.35,70.05,Card
T1000,2024-05-08 08:24:16,2024-05-08,08:00,POS-2,C001,P008,BREAD-WHT,White Bread,Grocery,3,3.30,9.90,Cash
T1000,2024-05-08 08:24:16,2024-05-08,08:00,POS-1,C001,P025,TUNA,Tuna Can,Grocery,1,11.46,11.46,Card
T1000,2024-05-08 08:24:16,2024-05-08,08:00,POS-2,C001,P026,ICECREAM,Ice Cream Pint,Frozen,3,8.55,25.65,Card
T1000,2024-05-08 08:24:16,2024-05-08,08:00,POS-2,C003,P029,BACON,Bacon Pack,Meat,2,2.13,4.26,Cash
T1006,2024-05-08 08:49:08,2024-05-08,08:00,POS-1,C001,P003,EGG-12CT,Eggs 12ct,Grocery,2,37.39,74.78,Card
T1006,2024-05-08 08:49:08,2024-05-08,08:00,POS-1,C003,P015,ORANGE-JUICE,Orange Juice,Beverage,3,4.16,12.48,Card
T1006,2024-05-08 08:49:08,2024-05-08,08:00,POS-1,C002,P025,TUNA,Tuna Can,Grocery,1,11.46,11.46,Cash
T1011,2024-05-08 08:59:51,2024-05-08,08:00,POS-2,C003,P011,DORITOS,Doritos Nacho Cheese,Snacks,3,44.82,134.46,Apple Pay
T1011,2024-05-08 08:59:51,2024-05-08,08:00,POS-1,C003,P001,RB-24CT,Red Bull 24ct,Energy Drink,3,44.81,134.43,Apple Pay
T1038,2024-05-08 09:14:59,2024-05-08,09:00,POS-2,C001,P029,BACON,Bacon Pack,Meat,1,2.13,2.13,Cash
T1038,2024-05-08 09:14:59,2024-05-08,09:00,POS-1,C002,P022,PASTA,Pasta Box,Grocery,3,6.70,20.10,Cash
T1038,2024-05-08 09:14:59,2024-05-08,09:00,POS-1,C001,P023,SAUCE,Tomato Sauce Jar,Grocery,1,8.57,8.57,Apple Pay
T1015,2024-05-08 09:15:58,2024-05-08,09:00,POS-2,C002,P015,ORANGE-JUICE,Orange Juice,Beverage,2,4.16,8.32,EBT
T1007,2024-05-08 09:23:57,2024-05-08,09:00,POS-1,C003,P036,ENERGY-BAR,Protein Bar,Candy,1,42.75,42.75,Card
T1021,2024-05-08 09:24:20,2024-05-08,09:00,POS-2,C002,P015,ORANGE-JUICE,Orange Juice,Beverage,2,4.16,8.32,Apple Pay
T1021,2024-05-08 09:24:20,2024-05-08,09:00,POS-2,C001,P010,CHOC-BAR,Chocolate Bar,Candy,1,27.61,27.61,Card
T1001,2024-05-08 09:32:05,2024-05-08,09:00,POS-2,C001,P001,RB-24CT,Red Bull 24ct,Energy Drink,1,44.81,44.81,Cash
