product_id,sku,product_name,vendor_name,week_start,unit_cost
P001,RB-24CT,Red Bull 24ct,Golden Supply Co.,2024-03-26,24.30
P001,RB-24CT,Red Bull 24ct,Golden Supply Co.,2024-04-02,24.52
P001,RB-24CT,Red Bull 24ct,Golden Supply Co.,2024-04-09,24.80
P001,RB-24CT,Red Bull 24ct,Golden Supply Co.,2024-04-16,25.01
P001,RB-24CT,Red Bull 24ct,Golden Supply Co.,2024-04-23,25.29
P001,RB-24CT,Red Bull 24ct,Golden Supply Co.,2024-04-30,25.49
P001,RB-24CT,Red Bull 24ct,Golden Supply Co.,2024-05-07,25.72
P001,RB-24CT,Red Bull 24ct,Golden Supply Co.,2024-05-14,25.99
P002,COKE-12OZ,Coca-Cola 12oz,Hudson Beverage,2024-03-26,15.56
P002,COKE-12OZ,Coca-Cola 12oz,Hudson Beverage,2024-04-02,15.62
P002,COKE-12OZ,Coca-Cola 12oz,Hudson Beverage,2024-04-09,15.71
P002,COKE-12OZ,Coca-Cola 12oz,Hudson Beverage,2024-04-16,15.79
P002,COKE-12OZ,Coca-Cola 12oz,Hudson Beverage,2024-04-23,15.88
P002,COKE-12OZ,Coca-Cola 12oz,Hudson Beverage,2024-04-30,15.96
P002,COKE-12OZ,Coca-Cola 12oz,Hudson Beverage,2024-05-07,16.01
P002,COKE-12OZ,Coca-Cola 12oz,Hudson Beverage,2024-05-14,16.12
P003,EGG-12CT,Eggs 12ct,Daily Grocery Wholesale,2024-03-26,24.32
P003,EGG-12CT,Eggs 12ct,Daily Grocery Wholesale,2024-04-02,24.64
P003,EGG-12CT,Eggs 12ct,Daily Grocery Wholesale,2024-04-09,25.04
P003,EGG-12CT,Eggs 12ct,Daily Grocery Wholesale,2024-04-16,25.46
P003,EGG-12CT,Eggs 12ct,Daily Grocery Wholesale,2024-04-23,25.82
P003,EGG-12CT,Eggs 12ct,Daily Grocery Wholesale,2024-04-30,26.17
P003,EGG-12CT,Eggs 12ct,Daily Grocery Wholesale,2024-05-07,26.56
P003,EGG-12CT,Eggs 12ct,Daily Grocery Wholesale,2024-05-14,26.92
P004,SBUX-FRAP,Starbucks Frappuccino,Hudson Beverage,2024-03-26,22.91
P004,SBUX-FRAP,Starbucks Frappuccino,Hudson Beverage,2024-04-02,23.17
P004,SBUX-FRAP,Starbucks Frappuccino,Hudson Beverage,2024-04-09,23.43
P004,SBUX-FRAP,Starbucks Frappuccino,Hudson Beverage,2024-04-16,23.71
P004,SBUX-FRAP,Starbucks Frappuccino,Hudson Beverage,2024-04-23,23.93
P004,SBUX-FRAP,Starbucks Frappuccino,Hudson Beverage,2024-04-30,24.25
P004,SBUX-FRAP,Starbucks Frappuccino,Hudson Beverage,2024-05-07,24.49
P004,SBUX-FRAP,Starbucks Frappuccino,Hudson Beverage,2024-05-14,24.76
P005,MILK-GAL,Milk Gallon,Fresh Dairy Co.,2024-03-26,2.38
P005,MILK-GAL,Milk Gallon,Fresh Dairy Co.,2024-04-02,2.48
P005,MILK-GAL,Milk Gallon,Fresh Dairy Co.,2024-04-09,2.61
P005,MILK-GAL,Milk Gallon,Fresh Dairy Co.,2024-04-16,2.68
P005,MILK-GAL,Milk Gallon,Fresh Dairy Co.,2024-04-23,2.79
P005,MILK-GAL,Milk Gallon,Fresh Dairy Co.,2024-04-30,2.86
P005,MILK-GAL,Milk Gallon,Fresh Dairy Co.,2024-05-07,2.94
P005,MILK-GAL,Milk Gallon,Fresh Dairy Co.,2024-05-14,3.02
P006,KETTLE-CHIPS,Kettle Chips Sea Salt,Metro Snacks,2024-03-26,2.06
P006,KETTLE-CHIPS,Kettle Chips Sea Salt,Metro Snacks,2024-04-02,2.08
P006,KETTLE-CHIPS,Kettle Chips Sea Salt,Metro Snacks,2024-04-09,2.11
P006,KETTLE-CHIPS,Kettle Chips Sea Salt,Metro Snacks,2024-04-16,2.16
P006,KETTLE-CHIPS,Kettle Chips Sea Salt,Metro Snacks,2024-04-23,2.12
P006,KETTLE-CHIPS,Kettle Chips Sea Salt,Metro Snacks,2024-04-30,2.12
P006,KETTLE-CHIPS,Kettle Chips Sea Salt,Metro Snacks,2024-05-07,2.14
P006,KETTLE-CHIPS,Kettle Chips Sea Salt,Metro Snacks,2024-05-14,2.19
P007,SPARK-WATER,Sparkling Water Variety Pack,Hudson Beverage,2024-03-26,5.37
P007,SPARK-WATER,Sparkling Water Variety Pack,Hudson Beverage,2024-04-02,5.39
P007,SPARK-WATER,Sparkling Water Variety Pack,Hudson Beverage,2024-04-09,5.37
P007,SPARK-WATER,Sparkling Water Variety Pack,Hudson Beverage,2024-04-16,5.32
P007,SPARK-WATER,Sparkling Water Variety Pack,Hudson Beverage,2024-04-23,5.35
P007,SPARK-WATER,Sparkling Water Variety Pack,Hudson Beverage,2024-04-30,5.30
