invoice_id,line_number,product_id,sku,product_name,quantity_ordered,unit_cost,line_total
INV001,1,P001,RB-24CT,Red Bull 24ct,2,25.99,51.98
INV002,1,P017,BUTTER,Butter Sticks,3,32.18,96.54
INV002,2,P016,YOGURT,Greek Yogurt Cup,2,18.37,36.74
INV002,3,P005,MILK-GAL,Milk Gallon,3,3.02,9.06
INV002,4,P018,CHEESE,Cheddar Cheese Block,1,6.90,6.90
INV003,1,P039,MANGO-JUICE,Mango Juice,4,14.55,58.20
INV003,2,P007,SPARK-WATER,Sparkling Water Variety Pack,3,5.27,15.81
INV003,3,P002,COKE-12OZ,Coca-Cola 12oz,3,16.12,48.36
INV003,4,P004,SBUX-FRAP,Starbucks Frappuccino,2,24.76,49.52
INV004,1,P011,DORITOS,Doritos Nacho Cheese,2,27.70,55.40
INV004,2,P010,CHOC-BAR,Chocolate Bar,2,16.04,32.08
INV004,3,P036,ENERGY-BAR,Protein Bar,2,34.46,68.92
INV004,4,P012,LAY-CLASSIC,Lay's Classic Chips,3,14.05,42.15
INV005,1,P001,RB-24CT,Red Bull 24ct,2,25.99,51.98
INV006,1,P028,HOTDOG,Hot Dog Pack,1,7.13,7.13
INV006,2,P020,SUGAR,Sugar 4lb,4,3.56,14.24
INV006,3,P019,COFFEE-CAN,Ground Coffee,5,3.77,18.85
INV006,4,P034,ADVIL,Pain Reliever,1,3.95,3.95
INV007,1,P018,CHEESE,Cheddar Cheese Block,5,6.90,34.50
INV007,2,P005,MILK-GAL,Milk Gallon,3,3.02,9.06
INV007,3,P017,BUTTER,Butter Sticks,4,32.18,128.72
INV007,4,P015,ORANGE-JUICE,Orange Juice,5,2.44,12.20
INV008,1,P013,WATER-24PK,Bottled Water 24pk,4,13.19,52.76
INV008,2,P004,SBUX-FRAP,Starbucks Frappuccino,2,24.76,49.52
INV008,3,P014,GATORADE,Gatorade 20oz,5,21.88,109.40
INV008,4,P007,SPARK-WATER,Sparkling Water Variety Pack,2,5.27,10.54
INV009,1,P012,LAY-CLASSIC,Lay's Classic Chips,3,14.05,42.15
INV009,2,P038,ALMONDS,Blue Diamond Almonds,4,19.24,76.96
INV009,3,P006,KETTLE-CHIPS,Kettle Chips Sea Salt,2,2.19,4.38
INV009,4,P011,DORITOS,Doritos Nacho Cheese,4,27.70,110.80
INV010,1,P033,TRASH-BAGS,Trash Bags,1,2.18,2.18
INV010,2,P031,PAPER-TOWEL,Paper Towels,2,5.08,10.16
INV010,3,P027,FROZEN-PIZZA,Frozen Pizza,4,2.84,11.36
INV010,4,P003,EGG-12CT,Eggs 12ct,5,26.92,134.60
INV011,1,P001,RB-24CT,Red Bull 24ct,5,25.99,129.95
INV012,1,P015,ORANGE-JUICE,Orange Juice,3,2.44,7.32
INV012,2,P018,CHEESE,Cheddar Cheese Block,4,6.90,27.60
INV012,3,P016,YOGURT,Greek Yogurt Cup,5,18.37,91.85
INV012,4,P005,MILK-GAL,Milk Gallon,3,3.02,9.06
